Departs Station,Kids Uni,Sciences,Creative Arts,Early Start,Hope Theatre,Northfields Ave,Arrives Station
7:54,,,,,,7:59,8:04
7:54,,,,,,7:59,8:04
8:04,,,,,,8:09,8:14
8:04,,,,,,8:09,8:14
8:19,,,,,,8:24,8:29
8:19,,,,,,8:24,8:29
8:29,8:34,8:36,8:37,8:38,8:39,8:40,8:45
8:40,,,,,,8:45,8:50
8:45,,,,,,8:50,8:55
8:55,,,,,,9:00,9:05
8:55,9:00,9:02,9:03,9:04,9:05,9:06,9:11
9:14,,,,,,9:19,9:24
9:14,,,,,,9:19,9:24
9:24,,,,,,9:29,9:34
9:30,,,,,,9:35,9:40
9:44,,,,,,9:49,9:54
9:44,,,,,,9:49,9:54
9:57,,,,,,10:02,10:07
9:57,,,,,,10:02,10:07
10:19,10:24,10:26,10:27,10:28,10:29,10:30,10:35
10:44,,,,,,10:49,10:54
10:44,,,,,,10:49,10:54
10:56,,,,,,11:01,11:06
10:56,11:01,11:03,11:04,11:05,11:06,11:07,11:12
11:24,,,,,,11:29,11:34
11:26,11:31,11:33,11:34,11:35,11:36,11:37,11:42
11:39,,,,,,11:44,11:49
11:44,,,,,,11:49,11:54
11:51,,,,,,11:56,12:01
11:54,,,,,,11:59,12:04
12:19,12:24,12:26,12:27,12:28,12:29,12:30,12:35
12:33,,,,,,12:38,12:43
12:44,,,,,,12:49,12:54
12:53,,,,,,12:58,13:03
12:56,13:01,13:03,13:04,13:05,13:06,13:07,13:12
13:10,,,,,,13:15,13:20
13:17,13:22,13:24,13:25,13:26,13:27,13:28,13:33
13:33,,,,,,13:38,13:43
13:33,,,,,,13:38,13:43
13:44,,,,,,13:49,13:54
13:44,13:49,13:51,13:52,13:53,13:54,13:55,14:00
13:54,,,,,,13:59,14:04
14:19,14:24,14:26,14:27,14:28,14:29,14:30,14:35
14:23,,,,,,14:28,14:33
14:33,,,,,,14:38,14:43
14:44,,,,,,14:49,14:54
14:53,,,,,,14:58,15:03
15:10,,,,,,15:15,15:20
15:19,15:24,15:26,15:27,15:28,15:29,15:30,15:35
15:23,,,,,,15:28,15:33
15:33,,,,,,15:38,15:43
15:44,,,,,,15:49,15:54
15:48,,,,,,15:53,15:58
15:54,,,,,,15:59,16:04
16:05,,,,,,16:10,16:15
16:19,16:24,16:26,16:27,16:28,16:29,16:30,16:35
16:24,,,,,,16:29,16:34
16:34,,,,,,16:39,16:44
16:44,,,,,,16:49,16:54
16:54,,,,,,16:59,17:04
16:54,16:59,17:01,17:02,17:03,17:04,17:05,17:10
17:11,,,,,,17:16,17:21
17:24,,,,,,17:29,17:34
17:28,17:33,17:35,17:36,17:37,17:38,17:39,17:44
17:56,,,,,,18:01,18:06
18:14,,,,,,18:19,18:24
18:24,,,,,,18:29,18:34
18:35,,,,,,18:40,18:45
18:45,,,,,,18:50,18:55
19:04,19:09,19:11,19:12,19:13,19:14,19:15,19:20
19:25,,,,,,19:30,19:35
19:35,,,,,,19:40,19:45
19:55,,,,,,20:00,20:05
20:15,,,,,,20:20,20:25
20:25,,,,,,20:30,20:35
20:35,,,,,,20:40,20:45
20:57,,,,,,21:02,21:07
21:24,,,,,,21:29,21:34
21:34,,,,,,21:39,21:44
21:57,,,,,,22:02,22:07